Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
11-17-2020,119.55,119.39,120.67,118.96,74270970
11-18-2020,118.61,118.03,119.82,118.00,76322110
11-19-2020,117.59,118.64,119.06,116.81,74112970
11-20-2020,118.64,117.34,118.77,117.29,73604290
11-23-2020,117.18,113.85,117.62,113.75,127959300
11-24-2020,113.91,115.17,115.85,112.59,113874200
11-25-2020,115.55,116.03,116.75,115.17,76499230
11-27-2020,116.57,116.59,117.49,116.22,46691330
11-30-2020,116.97,119.05,120.97,116.81,169410200
12-01-2020,121.01,122.72,123.47,120.01,128166800
12-02-2020,122.02,123.08,123.37,120.89,89004200
12-03-2020,123.52,122.94,123.78,122.21,78967630
12-04-2020,122.60,122.25,122.86,121.52,78260420
12-07-2020,122.31,123.75,124.57,122.25,86711990
12-08-2020,124.37,124.38,124.98,123.09,82225510
12-09-2020,124.53,121.78,125.95,121.00,115089200
12-10-2020,120.50,123.24,123.87,120.15,81312170
12-11-2020,122.43,122.41,122.76,120.55,86939790
12-14-2020,122.60,121.78,123.35,121.54,79075990
12-15-2020,124.34,127.88,127.90,124.13,157572300
12-16-2020,127.41,127.81,128.37,126.56,98208590
12-17-2020,128.90,128.70,129.58,128.05,94359810
12-18-2020,128.96,126.66,129.10,126.12,192541500
12-21-2020,125.02,128.23,128.31,123.45,121251600
12-22-2020,131.61,131.88,134.41,129.65,169351800
12-23-2020,132.16,130.96,132.43,130.78,88223690
12-24-2020,131.32,131.97,133.46,131.10,54930060
12-28-2020,133.99,136.69,137.34,133.51,124486200
12-29-2020,138.05,134.87,138.79,134.34,121047300
12-30-2020,135.58,133.72,135.99,133.40,96452120
12-31-2020,134.08,132.69,134.74,131.72,99116590
01-04-2021,133.52,129.41,133.61,126.76,143301900
01-05-2021,128.89,131.01,131.74,128.43,97664900
01-06-2021,127.72,126.60,131.05,126.38,155088000
01-07-2021,128.36,130.92,131.63,127.86,109578200
01-08-2021,132.43,132.05,132.63,130.23,105158200
01-11-2021,129.19,128.98,130.17,128.50,100620900
01-12-2021,128.50,128.80,129.69,126.86,91951150
01-13-2021,128.76,130.89,131.45,128.49,88636830
01-14-2021,130.80,128.91,131.00,128.76,90221760
01-15-2021,128.78,127.14,130.22,127.00,111598500
01-19-2021,127.78,127.83,128.71,126.94,90757330
01-20-2021,128.66,132.03,132.49,128.55,104319500
01-21-2021,133.80,136.87,139.67,133.59,120529500
01-22-2021,136.28,139.07,139.85,135.02,114459400
01-25-2021,143.07,142.92,145.09,136.54,157611700
01-26-2021,143.60,143.16,144.30,141.37,98390560
01-27-2021,143.43,142.06,144.30,140.41,140843800
01-28-2021,139.52,137.09,141.99,136.70,142621100
01-29-2021,135.83,131.96,136.74,130.21,177523800
02-01-2021,133.75,134.14,135.38,130.93,106239800
02-02-2021,135.73,134.99,136.31,134.61,83305370
02-03-2021,135.76,133.94,135.77,133.61,89880940
02-04-2021,136.30,137.39,137.40,134.59,84183060
02-05-2021,137.35,136.76,137.42,135.86,75693830
02-08-2021,136.03,136.91,136.96,134.92,71297210
02-09-2021,136.62,136.01,137.88,135.85,76774210
02-10-2021,136.48,135.39,136.99,134.40,73046560
02-11-2021,135.90,135.13,136.39,133.77,64280030
02-12-2021,134.35,135.37,135.53,133.69,60145130
02-16-2021,135.49,133.19,136.01,132.79,80576320
02-17-2021,131.25,130.84,132.22,129.47,98085250
02-18-2021,129.20,129.71,130.00,127.41,96856750
02-19-2021,130.24,129.87,130.71,128.80,87668830
02-22-2021,128.01,126.00,129.72,125.60,103916400
02-23-2021,123.76,125.86,126.71,118.39,158273000
02-24-2021,124.94,125.35,125.56,122.23,111039900
02-25-2021,124.68,120.99,126.46,120.54,148199500
02-26-2021,122.59,121.26,124.85,121.20,164560400
03-01-2021,123.75,127.79,127.93,122.79,116307900
03-02-2021,128.41,125.12,128.72,125.01,102260900
03-03-2021,124.81,122.06,125.71,121.84,112966300
03-04-2021,121.75,120.13,123.60,118.62,178155000
03-05-2021,120.98,121.42,121.94,117.57,153766600
03-08-2021,120.93,116.36,121.00,116.21,154376600
03-09-2021,119.03,121.09,122.06,118.79,129525800
03-10-2021,121.69,119.98,122.17,119.45,111943300
03-11-2021,122.54,121.96,123.21,121.26,103026500
03-12-2021,120.40,121.03,121.17,119.16,88105050
03-15-2021,121.41,123.99,124.00,120.42,92590560
03-16-2021,125.70,125.57,127.22,124.72,115227900
03-17-2021,124.05,124.76,125.86,122.34,111932600
03-18-2021,122.88,120.53,123.18,120.32,121469800
03-19-2021,119.90,119.99,121.43,119.68,185549500
03-22-2021,120.33,123.39,123.87,120.26,111912300
03-23-2021,123.33,122.54,124.24,122.14,95467140
03-24-2021,122.82,120.09,122.90,120.07,88530490
03-25-2021,119.54,120.59,121.66,119.00,98844680
03-26-2021,120.35,121.21,121.48,118.92,94071230
03-29-2021,121.65,121.39,122.58,120.73,80819200
03-30-2021,120.11,119.90,120.40,118.86,85671920
03-31-2021,121.65,122.15,123.52,121.15,118323800
04-01-2021,123.66,123.00,124.18,122.49,75089130
04-05-2021,123.87,125.90,126.16,123.07,88651180
04-06-2021,126.50,126.21,127.13,125.65,80171250
04-07-2021,125.83,127.90,127.92,125.14,83466720
04-08-2021,128.95,130.36,130.39,128.52,88844590
04-09-2021,129.80,133.00,133.04,129.47,106686700
04-12-2021,132.52,131.24,132.85,130.63,91419980
04-13-2021,132.44,134.43,134.66,131.93,91266550
04-14-2021,134.94,132.03,135.00,131.66,87222780
04-15-2021,133.82,134.50,135.00,133.64,89347100
04-16-2021,134.30,134.16,134.67,133.28,84922390
04-19-2021,133.51,134.84,135.47,133.34,94264220
04-20-2021,135.02,133.11,135.53,131.81,94812350
04-21-2021,132.36,133.50,133.75,131.30,68847140
04-22-2021,133.04,131.94,134.15,131.41,84566460
04-23-2021,132.16,134.32,135.12,132.16,78756780
04-26-2021,134.83,134.72,135.06,133.56,66905070
04-27-2021,135.01,134.39,135.41,134.11,66015800
04-28-2021,134.31,133.58,135.02,133.08,107760100
04-29-2021,136.47,133.48,137.07,132.45,151101000
04-30-2021,131.78,131.46,133.56,131.07,109839500
05-03-2021,132.04,132.54,134.07,131.83,75135100
05-04-2021,131.19,127.85,131.49,126.70,137564700
05-05-2021,129.20,128.10,130.45,127.97,84000900
05-06-2021,127.89,129.74,129.75,127.13,78128330
05-07-2021,130.85,130.21,131.26,129.48,78973270
05-10-2021,129.41,126.85,129.54,126.81,88071230
05-11-2021,123.50,125.91,126.27,122.77,126142800
05-12-2021,123.40,122.77,124.64,122.25,112172300
05-13-2021,124.58,124.97,126.15,124.26,105861300
05-14-2021,126.25,127.45,127.89,125.85,81917950
05-17-2021,126.82,126.27,126.93,125.17,74116550
05-18-2021,126.56,124.85,126.99,124.78,63342930
05-19-2021,123.16,124.69,124.92,122.86,92611990
05-20-2021,125.23,127.31,127.72,125.10,76857120
05-21-2021,127.82,125.43,128.00,125.21,79295440
05-24-2021,126.01,127.10,127.94,125.94,63092950
05-25-2021,127.82,126.90,128.32,126.32,72009480
05-26-2021,126.96,126.85,127.39,126.42,56575920
05-27-2021,126.44,125.28,127.64,125.08,94625600
05-28-2021,125.57,124.61,125.80,124.55,71311110
06-01-2021,125.08,124.28,125.35,123.94,67637120
06-02-2021,124.28,125.06,125.24,124.05,59278860
06-03-2021,124.68,123.54,124.85,123.13,76229170
06-04-2021,124.07,125.89,126.16,123.85,75169340
06-07-2021,126.17,125.90,126.32,124.83,71057550
06-08-2021,126.60,126.74,128.46,126.21,74403770
06-09-2021,127.21,127.13,127.75,126.52,56877940
06-10-2021,127.02,126.11,128.19,125.94,71186420
