Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
05-04-2021,250.97,247.79,251.21,245.76,32756050
05-05-2021,249.06,246.47,249.50,245.82,21901330
05-06-2021,246.45,249.73,249.86,244.69,26491090
05-07-2021,252.15,252.46,254.30,251.17,27032910
05-10-2021,250.87,247.18,251.73,247.12,29299890
05-11-2021,244.55,246.23,246.60,242.57,33641590
05-12-2021,242.17,239.00,244.38,238.07,36684370
05-13-2021,241.80,243.03,245.60,241.42,29624300
05-14-2021,245.58,248.15,249.18,245.49,23901080
05-17-2021,246.55,245.18,246.59,243.52,24938180
05-18-2021,246.27,243.08,246.41,242.90,20167980
05-19-2021,239.31,243.12,243.23,238.60,25739810
05-20-2021,243.96,246.48,247.95,243.86,21800720
05-21-2021,247.57,245.17,248.33,244.74,21863060
05-24-2021,247.79,250.78,251.16,247.51,21411550
05-25-2021,251.77,251.72,252.75,250.82,17704300
05-26-2021,251.43,251.49,252.94,250.75,17771600
05-27-2021,251.17,249.31,251.48,249.25,24426240
05-28-2021,251.00,249.68,252.08,249.56,18274940
06-01-2021,251.23,247.40,251.29,246.96,23213310
06-02-2021,248.13,247.30,249.27,245.84,19406710
06-03-2021,245.22,245.71,246.34,243.00,25307710
06-04-2021,247.76,250.79,251.65,247.51,25281090
06-07-2021,249.98,253.81,254.09,249.81,23079170
06-08-2021,255.16,252.57,256.01,252.51,22455000
06-09-2021,253.81,253.59,255.53,253.21,17937630
06-10-2021,254.29,257.24,257.46,253.67,24563620
06-11-2021,257.99,257.89,258.49,256.61,18999730
06-14-2021,257.90,259.89,259.95,256.80,19150510
06-15-2021,259.78,258.36,259.99,257.68,18038930
06-16-2021,259.40,257.38,260.58,254.42,27219960
06-17-2021,256.07,260.90,261.75,256.01,27565540
06-18-2021,259.63,259.43,262.30,258.75,37202220
06-21-2021,259.82,262.63,263.52,257.92,26696120
06-22-2021,262.72,265.51,265.79,262.40,24694090
06-23-2021,265.99,265.28,266.83,264.43,19518680
06-24-2021,266.16,266.69,267.85,265.47,21446870
06-25-2021,266.23,265.02,267.25,264.76,25611110
06-28-2021,266.19,268.72,268.90,265.91,19590020
06-29-2021,268.87,271.40,271.65,267.98,19937810
06-30-2021,270.69,270.90,271.36,269.60,21656460
07-01-2021,269.61,271.60,271.84,269.60,16725320
07-02-2021,272.82,277.65,278.00,272.50,26474410
07-06-2021,278.03,277.66,279.37,274.30,31565560
07-07-2021,279.40,279.93,280.69,277.15,23260030
07-08-2021,276.90,277.42,278.73,274.87,24618590
07-09-2021,275.72,277.94,278.05,275.32,23916670
07-12-2021,279.16,277.32,279.77,276.58,18931700
07-13-2021,277.52,280.98,282.85,277.39,26120130
07-14-2021,282.35,282.51,283.66,280.55,23113660
07-15-2021,282.00,281.03,282.51,279.83,22604230
07-16-2021,282.07,280.75,284.10,279.46,26186850
07-19-2021,278.93,277.01,280.37,274.45,32935630
07-20-2021,278.03,279.32,280.97,276.26,26259740
07-21-2021,278.91,281.40,281.52,277.29,24364320
07-22-2021,283.84,286.14,286.42,283.42,23384060
07-23-2021,287.37,289.67,289.99,286.50,22768070
07-26-2021,289.00,289.05,289.69,286.64,23176070
07-27-2021,289.43,286.54,289.58,282.95,33604070
07-28-2021,288.99,286.22,290.15,283.83,33566850
07-29-2021,286.24,286.50,288.62,286.08,18168290
07-30-2021,285.17,284.91,286.66,283.91,20944850
08-02-2021,286.36,284.82,286.78,283.74,16267360
08-03-2021,285.42,287.12,287.23,284.00,17879050
08-04-2021,286.22,286.51,287.59,284.65,16191300
08-05-2021,286.88,289.52,289.63,286.10,13900170
08-06-2021,288.51,289.46,289.50,287.62,16589340
08-09-2021,289.75,288.33,291.55,287.81,16117630
08-10-2021,288.80,286.44,289.25,285.20,18616580
08-11-2021,287.21,286.95,288.66,285.86,13955930
08-12-2021,286.63,289.81,289.97,286.34,14570390
08-13-2021,289.48,292.85,292.90,289.30,18249050
08-16-2021,293.19,294.60,294.82,290.02,22516030
08-17-2021,292.39,293.08,293.43,291.08,20075250
08-18-2021,292.04,290.73,294.82,290.27,21812990
08-19-2021,288.69,296.77,297.47,288.64,29850460
08-20-2021,299.72,304.36,305.84,298.06,40817650
08-23-2021,303.25,304.65,305.40,301.85,22830160
08-24-2021,305.02,302.62,305.65,302.00,18175770
08-25-2021,304.30,302.01,304.59,300.42,20006060
08-26-2021,300.99,299.09,302.43,298.95,17666080
08-27-2021,298.99,299.72,300.87,296.83,22605730
08-30-2021,301.12,303.59,304.22,301.06,16348070
